category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0019752	0.00684660911003904	0.995726874424445	49	383	carboxylic acid metabolic process	BP	0.553804527616005	1
GO:0006022	0.00700531466008824	0.997821239190352	10	49	aminoglycan metabolic process	BP	0.562913903015249	1
GO:0034703	0.00706426653326361	0.998264672669845	7	54	cation channel complex	CC	0.563256588397772	1
GO:0050660	0.00710181059548525	0.997362022784353	13	72	flavin adenine dinucleotide binding	MF	0.563256588397772	1
GO:0043436	0.00734605345902717	0.995396272761922	49	384	oxoacid metabolic process	BP	0.577306068622611	1
GO:1901607	0.00742536264336977	0.997869144734865	9	39	alpha-amino acid biosynthetic process	BP	0.577306068622611	1
GO:0098661	0.0074537476096377	0.998210037281409	7	37	inorganic anion transmembrane transport	BP	0.577306068622611	1
GO:0008509	0.00750205062589072	0.996702517760703	17	141	anion transmembrane transporter activity	MF	0.577306068622611	1
GO:0005604	0.00751528286482685	0.998218309330416	8	21	basement membrane	CC	0.577306068622611	1
GO:0070700	0.00757906131734194	0.999541986396961	3	6	BMP receptor binding	MF	0.57856659331259	1
GO:0015075	0.00778830990656233	0.995299437906822	40	484	ion transmembrane transporter activity	MF	0.588903422449554	1
GO:0032787	0.00785851266105373	0.99580120614271	28	196	monocarboxylic acid metabolic process	BP	0.588903422449554	1
GO:0090066	0.00785911723098717	0.995302777753226	42	234	regulation of anatomical structure size	BP	0.588903422449554	1
GO:0042595	0.00794753505405746	0.99929676152865	4	7	behavioral response to starvation	BP	0.588963085808733	1
GO:0050878	0.00796127644170587	0.998712241934198	5	17	regulation of body fluid levels	BP	0.588963085808733	1
GO:0006206	0.00800457444279104	0.998837657591949	5	12	pyrimidine nucleobase metabolic process	BP	0.588963085808733	1
GO:0006813	0.00809412595331723	0.997522083121927	9	68	potassium ion transport	BP	0.590908622785459	1
GO:0072527	0.00812777539118693	0.997860752299859	8	32	pyrimidine-containing compound metabolic process	BP	0.590908622785459	1
GO:0072529	0.0085645610182815	0.998609862076438	5	16	pyrimidine-containing compound catabolic process	BP	0.618979575605268	1
GO:0004857	0.00894863072289392	0.996101060264846	16	134	enzyme inhibitor activity	MF	0.642904337748248	1
GO:0140323	0.00900087127517197	0.999307180664861	4	6	solute:anion antiporter activity	MF	0.642904337748248	1
GO:0008156	0.00935091845614442	0.998448472672403	5	16	negative regulation of DNA replication	BP	0.664023941996209	1
GO:0016798	0.00961293443704511	0.996072854991074	14	101	hydrolase activity, acting on glycosyl bonds	MF	0.671697360832888	1
GO:0007157	0.00962699275368036	0.998228187799877	5	28	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	BP	0.671697360832888	1
GO:0007271	0.00964842150438863	0.998598042587017	4	29	synaptic transmission, cholinergic	BP	0.671697360832888	1
GO:0016605	0.00967895329184447	0.999805919619312	2	3	PML body	CC	0.671697360832888	1
GO:0006563	0.00985634620152752	0.999442374686521	3	5	L-serine metabolic process	BP	0.673947257191961	1
GO:0045216	0.00986356233279306	0.995502511314674	19	82	cell-cell junction organization	BP	0.673947257191961	1
GO:0035159	0.00987690838688072	0.997585320964051	7	28	regulation of tube length, open tracheal system	BP	0.673947257191961	1
GO:0008652	0.00996757829244316	0.996955118207189	9	44	cellular amino acid biosynthetic process	BP	0.674666421214351	1
GO:1903825	0.0100531593794835	0.996397756778478	11	75	organic acid transmembrane transport	BP	0.674666421214351	1
GO:1905039	0.0100531593794835	0.996397756778478	11	75	carboxylic acid transmembrane transport	BP	0.674666421214351	1
GO:0043266	0.0101953878911607	0.99814488707313	5	23	regulation of potassium ion transport	BP	0.680472501107304	1
GO:0060252	0.010285687215463	0.999302885039291	3	6	positive regulation of glial cell proliferation	BP	0.682768389400355	1
GO:1901658	0.0104331543402947	0.997754092811761	6	24	glycosyl compound catabolic process	BP	0.688813768174918	1
